ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
491	8,7,5,4	124,95,82,111	5,6,9,11	95,74,73,85	298	149
492	9,3,2,1	146,97,92,99	2,4,2,1	87,90,91,102	223	149
493	14,6,15,8	116,69,58,89	10,1,8,7	72,71,71,56	298	149
494	70,44,45,26	290,225,203,226	22,33,32,41	220,226,160,214	215	149
495	10,16,12,17	213,263,238,194	19,18,12,13	175,191,173,196	298	149
496	29,11,5,12	16,20,8,19	12,12,10,11	18,22,20,18	219	149
497	40,23,15,14	24,15,29,32	16,18,28,25	18,16,21,20	254	149
498	11,6,2,1	56,45,47,49	11,7,3,8	30,41,40,45	271	149
499	60,36,64,64	379,292,252,257	93,38,35,76	170,193,168,174	220	149
500	15,16,5,6	72,77,109,106	10,11,9,4	79,67,76,94	298	149
501	9,8,14,9	160,125,128,121	11,4,6,10	131,111,79,91	298	149
502	3,1,0,3	155,95,88,76	6,3,1,2	62,82,53,80	298	149
503	220,131,134,142	7,6,4,5	126,121,115,100	2,6,14,3	298	149
504	1,4,7,5	3,15,13,12	6,1,6,1	17,9,3,7	298	149
513	2,7,2,7	6703,5837,5510,5154	9,2,3,2	5939,6348,5472,5651	246	149
514	21,21,20,15	77,52,55,50	27,25,20,23	70,71,86,66	298	149
515	1,1,5,5	12,6,8,14	1,6,2,4	7,17,15,10	298	149
519	114,83,100,70	2647,2185,2125,2041	118,86,75,72	2695,2756,2454,2468	265	149
520	14,17,12,16	3,5,2,5	17,22,27,22	6,5,6,8	286	149
521	23,36,31,30	1,1,3,4	18,25,23,30	2,2,0,1	226	149
522	35,48,51,45	0,0,3,3	35,27,34,44	6,2,0,0	298	149
524	8,8,6,3	212,248,217,228	8,8,3,15	193,220,185,176	298	149
525	136,120,94,111	514,301,334,390	177,176,165,193	410,337,326,303	298	149
526	711,581,617,615	5,3,6,2	688,575,619,606	6,5,3,4	281	149
529	180,160,162,138	4,1,2,0	286,219,209,258	1,0,2,1	268	149
